name,source,type,cleaned_name,freq
MR,https://en.wikipedia.org/wiki/List_of_cigar_brands,Cigar,MR,2601573
MS,https://en.wikipedia.org/wiki/List_of_cigarette_brands,Cigarette,MS,782006
Microsoft,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Microsoft,611659
Microsoft - Surface,https://en.wikipedia.org/wiki/List_of_laptop_brands_and_manufacturers,Electronics,Microsoft,611659
Ford (1903–present),https://en.wikipedia.org/wiki/List_of_car_brands,Car,Ford,538094
Apple,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Apple,346971
Apple,https://en.wikipedia.org/wiki/List_of_laptop_brands_and_manufacturers,Electronics,Apple,346971
Google,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Google,319132
Cool[8],https://en.wikipedia.org/wiki/List_of_cigarette_brands,Cigarette,Cool,317181
NorthWest [1],https://en.wikipedia.org/wiki/List_of_vodkas,Beverage,NorthWest,237150
Kent,https://en.wikipedia.org/wiki/List_of_cigarette_brands,Cigarette,Kent,233505
Sony,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Sony,223059
Sony (also an OEM option for Ford vehicles),https://en.wikipedia.org/wiki/List_of_car_audio_manufacturers_and_brands,Electronics,Sony,223059
Sony,https://en.wikipedia.org/wiki/List_of_digital_camera_brands,Digital Camera,Sony,223059
Toyota [10],https://en.wikipedia.org/wiki/List_of_sewing_machine_brands,Home / Personal Care,Toyota,213302
Toyota (1963–present),https://en.wikipedia.org/wiki/List_of_car_brands,Car,Toyota,213302
Toyota,https://en.wikipedia.org/wiki/List_of_car_brands,Car,Toyota,213302
Momentum,https://en.wikipedia.org/wiki/Paracetamol_brand_names,Drugs,Momentum,211314
Bristol (1946–present),https://en.wikipedia.org/wiki/List_of_car_brands,Car,Bristol,209550
MP,https://en.wikipedia.org/wiki/List_of_firearm_brands,Firearms,MP,192544
IBM,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,IBM,174355
Intel,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Intel,173708
Chrysler (1925–present),https://en.wikipedia.org/wiki/List_of_car_brands,Car,Chrysler,163926
Honda,https://en.wikipedia.org/wiki/List_of_car_brands,Car,Honda,163026
Brooks,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Brooks,149405
Raymond,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Raymond,144349
Amazon,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Amazon,112967
Dell,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Dell,109489
Dell,https://en.wikipedia.org/wiki/List_of_laptop_brands_and_manufacturers,Electronics,Dell,109489
BT,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,BT,107903
O'Neill,https://en.wikipedia.org/wiki/List_of_swimwear_brands,Fashion,O'Neill,102525
Grand Slam,https://en.wikipedia.org/wiki/List_of_chocolate_bar_brands,Food,Grand Slam,101875
Ferrari,https://en.wikipedia.org/wiki/List_of_car_brands,Car,Ferrari,92463
Sachs,https://en.wikipedia.org/wiki/List_of_bicycle_part_manufacturing_companies,Bicycle,Sachs,91746
BMW,https://en.wikipedia.org/wiki/List_of_car_brands,Car,BMW,91546
Newport,https://en.wikipedia.org/wiki/List_of_cigarette_brands,Cigarette,Newport,90129
Nissan,https://en.wikipedia.org/wiki/List_of_car_brands,Car,Nissan,87485
Coca-Cola,https://en.wikipedia.org/wiki/List_of_brand_name_soft_drink_products,Beverage,Coca-Cola,84708
Breakaway,https://en.wikipedia.org/wiki/List_of_chocolate_bar_brands,Food,Breakaway,79445
Mitsubishi,https://en.wikipedia.org/wiki/List_of_car_brands,Car,Mitsubishi,79047
Kingston,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Kingston,78706
Sebastian,https://en.wikipedia.org/wiki/List_of_Procter_%26_Gamble_brands,Home / Personal Care,Sebastian,78615
Halls,https://en.wikipedia.org/wiki/List_of_breath_mints,Food,Halls,78162
HP,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,HP,77193
HP,https://en.wikipedia.org/wiki/List_of_digital_camera_brands,Digital Camera,HP,77193
Renault,https://en.wikipedia.org/wiki/List_of_car_brands,Car,Renault,76155
SR,https://en.wikipedia.org/wiki/List_of_firearm_brands,Firearms,SR,75987
Ace +,https://en.wikipedia.org/wiki/Paracetamol_brand_names,Drugs,Ace +,75238
Tang,https://en.wikipedia.org/wiki/List_of_Kraft_brands,Food,Tang,75175
Nokia,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Nokia,72890
Samsung,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Samsung,71469
Samsung (no longer sells aftermarket car audio products in North America),https://en.wikipedia.org/wiki/List_of_car_audio_manufacturers_and_brands,Electronics,Samsung,71469
Samsung,https://en.wikipedia.org/wiki/List_of_digital_camera_brands,Digital Camera,Samsung,71469
Chevrolet (1911–present),https://en.wikipedia.org/wiki/List_of_car_brands,Car,Chevrolet,69521
Motorola,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Motorola,67682
Volkswagen,https://en.wikipedia.org/wiki/List_of_car_brands,Car,Volkswagen,67650
GE,https://en.wikipedia.org/wiki/List_of_digital_camera_brands,Digital Camera,GE,65707
Suzuki,https://en.wikipedia.org/wiki/List_of_car_brands,Car,Suzuki,65414
Safeguard,https://en.wikipedia.org/wiki/List_of_Procter_%26_Gamble_brands,Home / Personal Care,Safeguard,64950
Nike,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Nike,61042
Fiat,https://en.wikipedia.org/wiki/List_of_car_brands,Car,Fiat,57901
Canon,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Canon,57033
Canon,https://en.wikipedia.org/wiki/List_of_digital_camera_brands,Digital Camera,Canon,57033
Eden (Philippines),https://en.wikipedia.org/wiki/List_of_Kraft_brands,Food,Eden,55868
Hyundai,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Hyundai,55758
Hyundai,https://en.wikipedia.org/wiki/List_of_car_brands,Car,Hyundai,55758
Knox (gelatin),https://en.wikipedia.org/wiki/List_of_Kraft_brands,Food,Knox,52873
Siemens,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Siemens,51558
Daytona (2002–present),https://en.wikipedia.org/wiki/List_of_car_brands,Car,Daytona,51129
Salomon,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Salomon,50328
Mini (1959—present),https://en.wikipedia.org/wiki/List_of_car_brands,Car,Mini,49695
Barr,https://en.wikipedia.org/wiki/List_of_brand_name_soft_drink_products,Beverage,Barr,47651
Ram (2009–present),https://en.wikipedia.org/wiki/List_of_car_brands,Car,Ram,47362
Philips,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Philips,45573
Kodak,https://en.wikipedia.org/wiki/List_of_digital_camera_brands,Digital Camera,Kodak,44769
Porsche,https://en.wikipedia.org/wiki/List_of_car_brands,Car,Porsche,44458
Lyons (2011–present),https://en.wikipedia.org/wiki/List_of_car_brands,Car,Lyons,44435
Holden (1948–present),https://en.wikipedia.org/wiki/List_of_car_brands,Car,Holden,43970
EMI,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,EMI,43633
Hewlett-Packard,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Hewlett-Packard,42815
Hewlett-Packard,https://en.wikipedia.org/wiki/List_of_laptop_brands_and_manufacturers,Electronics,Hewlett-Packard,42815
Sosa,https://en.wikipedia.org/wiki/List_of_cigar_brands,Cigar,Sosa,42383
Gul,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Gul,41993
Starbucks (grocery store items) - Starbucks dissolved the partnership in 2011,https://en.wikipedia.org/wiki/List_of_Kraft_brands,Food,Starbucks,41878
Bentley (1919–present),https://en.wikipedia.org/wiki/List_of_car_brands,Car,Bentley,41634
Liga (Netherlands),https://en.wikipedia.org/wiki/List_of_Kraft_brands,Food,Liga,41441
Chevron (1984–present),https://en.wikipedia.org/wiki/List_of_car_brands,Car,Chevron,40490
AMD,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,AMD,38746
Pepsi,https://en.wikipedia.org/wiki/List_of_brand_name_soft_drink_products,Beverage,Pepsi,38546
Jaguar (1945–present),https://en.wikipedia.org/wiki/List_of_car_brands,Car,Jaguar,37288
Avid,https://en.wikipedia.org/wiki/List_of_bicycle_part_manufacturing_companies,Bicycle,Avid,36338
Cadillac (1902–present),https://en.wikipedia.org/wiki/List_of_car_brands,Car,Cadillac,36142
Toshiba,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Toshiba,35472
LD,https://en.wikipedia.org/wiki/List_of_cigarette_brands,Cigarette,LD,34542
Excel,https://en.wikipedia.org/wiki/List_of_breath_mints,Food,Excel,34537
Sting,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Sting,34379
Vargas,https://en.wikipedia.org/wiki/List_of_cigar_brands,Cigar,Vargas,34296
Audi,https://en.wikipedia.org/wiki/List_of_car_brands,Car,Audi,33676
Playboy,https://en.wikipedia.org/wiki/List_of_cigar_brands,Cigar,Playboy,32765
Mazda,https://en.wikipedia.org/wiki/List_of_car_brands,Car,Mazda,32534
CAO,https://en.wikipedia.org/wiki/List_of_cigar_brands,Cigar,CAO,32478
Cameo (biscuits),https://en.wikipedia.org/wiki/List_of_Kraft_brands,Food,Cameo,32269
Regent[8],https://en.wikipedia.org/wiki/List_of_cigarette_brands,Cigarette,Regent,32207
