word_a,freq_a,word_b,freq_b,type,use_marker,d_type,count
Ada,18490,FL,18147,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,367
Ada,18490,Perl,18021,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,285
Advanced Encryption Standard,317,Data Encryption Standard,273,https://en.wikipedia.org/wiki/List_of_algorithms,TRUE,compsci,389
AppleTalk,776,IPX,775,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,TRUE,compsci,603
Array,163914,Graph,57853,https://en.wikipedia.org/wiki/List_of_data_structures,TRUE,compsci,760
Array,163914,Stack,55526,https://en.wikipedia.org/wiki/List_of_data_structures,TRUE,compsci,740
Array,163914,Bitmap,4410,https://en.wikipedia.org/wiki/List_of_data_structures,TRUE,compsci,709
Array,163914,Integer,25232,https://en.wikipedia.org/wiki/List_of_data_structures,TRUE,compsci,676
Array,163914,Boolean,9369,https://en.wikipedia.org/wiki/List_of_data_structures,TRUE,compsci,644
Array,163914,Queue,34677,https://en.wikipedia.org/wiki/List_of_data_structures,TRUE,compsci,521
Array,163914,Floating-point,4492,https://en.wikipedia.org/wiki/List_of_data_structures,TRUE,compsci,299
Array,163914,Trie,4318,https://en.wikipedia.org/wiki/List_of_data_structures,TRUE,compsci,119
ASCII,12005,UTF-8,2237,https://en.wikipedia.org/wiki/Character_encoding,TRUE,compsci,834
ASCII,12005,EBCDIC,435,https://en.wikipedia.org/wiki/Character_encoding,TRUE,compsci,810
ASCII,12005,Unicode,11646,https://en.wikipedia.org/wiki/Character_encoding,TRUE,compsci,792
ASCII,12005,UTF-16,835,https://en.wikipedia.org/wiki/Character_encoding,TRUE,compsci,375
ASCII,12005,ISO 8859-1,472,https://en.wikipedia.org/wiki/Character_encoding,TRUE,compsci,225
B+ tree,248,B-tree,248,https://en.wikipedia.org/wiki/List_of_data_structures,TRUE,compsci,143
Bash,19978,PHP,18530,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,872
Boolean,9369,Floating-point,4492,https://en.wikipedia.org/wiki/List_of_data_structures,TRUE,compsci,128
Ch,18636,rc,18032,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,570
Ch,18636,FL,18147,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,552
Ch,18636,Ada,18490,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,133
CL,7658,Cg,7055,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,423
CL,7658,S2,6853,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,104
ColdFusion,1363,ActionScript,1313,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,129
CPL,18872,FL,18147,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,980
CUDA,405,OpenCL,388,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,842
Curry,52297,FOIL,48360,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,122
Cyclone,42367,Oz,38043,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,273
Delphi,33148,Python,29691,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,698
Discrete Fourier transform,249,Fast Fourier transform,228,https://en.wikipedia.org/wiki/List_of_algorithms,TRUE,compsci,346
Eclipse,31134,Visual Studio,4609,https://en.wikipedia.org/wiki/Comparison_of_integrated_development_environments,TRUE,compsci,925
Eclipse,31134,NetBeans,664,https://en.wikipedia.org/wiki/Comparison_of_integrated_development_environments,TRUE,compsci,839
Eclipse,31134,Spyder,2953,https://en.wikipedia.org/wiki/Comparison_of_integrated_development_environments,TRUE,compsci,739
Eclipse,31134,Microsoft Visual Studio,700,https://en.wikipedia.org/wiki/Comparison_of_integrated_development_environments,TRUE,compsci,118
ECMAScript,477,JScript,470,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,272
Ethernet,26371,Bluetooth,25514,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,TRUE,compsci,799
Ethernet,26371,Frame relay,551,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,TRUE,compsci,791
