word_a	freq_a	word_b	freq_b	type	use_marker
governor	646348	suburb	156637	seed=university;cui=0	False
governor	646348	diocese	71673	seed=university;cui=0	True
governor	646348	rout	40424	seed=university;cui=0	True
governor	646348	nativ	299	seed=university;cui=0	True
suburb	156637	diocese	71673	seed=university;cui=0	True
suburb	156637	rout	40424	seed=university;cui=0	True
suburb	156637	nativ	299	seed=university;cui=0	True
diocese	71673	rout	40424	seed=university;cui=0	True
diocese	71673	nativ	299	seed=university;cui=0	True
rout	40424	nativ	299	seed=university;cui=0	True
school	2793570	hospital	1027284	seed=university;cui=2	True
school	2793570	institute	943114	seed=university;cui=2	True
school	2793570	academy	556206	seed=university;cui=2	True
school	2793570	institution	257711	seed=university;cui=2	True
hospital	1027284	institute	943114	seed=university;cui=2	True
hospital	1027284	academy	556206	seed=university;cui=2	True
hospital	1027284	institution	257711	seed=university;cui=2	True
institute	943114	academy	556206	seed=university;cui=2	True
institute	943114	institution	257711	seed=university;cui=2	True
academy	556206	institution	257711	seed=university;cui=2	True
college	1267700	harvard	292493	seed=university;cui=3	True
college	1267700	yale	133654	seed=university;cui=3	True
college	1267700	seminary	37652	seed=university;cui=3	True
harvard	292493	yale	133654	seed=university;cui=3	True
harvard	292493	seminary	37652	seed=university;cui=3	True
yale	133654	seminary	37652	seed=university;cui=3	True
professor	571152	campus	400984	seed=university;cui=4	True
professor	571152	graduate	299641	seed=university;cui=4	True
professor	571152	faculty	167307	seed=university;cui=4	True
professor	571152	grad	11834	seed=university;cui=4	True
campus	400984	graduate	299641	seed=university;cui=4	True
campus	400984	faculty	167307	seed=university;cui=4	True
campus	400984	grad	11834	seed=university;cui=4	True
graduate	299641	faculty	167307	seed=university;cui=4	True
graduate	299641	grad	11834	seed=university;cui=4	True
faculty	167307	grad	11834	seed=university;cui=4	True
growth	1497199	position	1489778	seed=job;cui=0	True
growth	1497199	employment	431750	seed=job;cui=0	True
position	1489778	employment	431750	seed=job;cui=0	True
