,word_a,freq_a,word_b,freq_b,type,use_marker,d_type,count
0,MR,2601573,Sosa,42383,https://en.wikipedia.org/wiki/List_of_cigar_brands,True,brands,1.0
1,MR,2601573,Vargas,34296,https://en.wikipedia.org/wiki/List_of_cigar_brands,True,brands,12.0
2,MR,2601573,Playboy,32765,https://en.wikipedia.org/wiki/List_of_cigar_brands,True,brands,5.0
3,MR,2601573,CAO,32478,https://en.wikipedia.org/wiki/List_of_cigar_brands,True,brands,6.0
4,MR,2601573,Cain,30904,https://en.wikipedia.org/wiki/List_of_cigar_brands,True,brands,87.0
5,MR,2601573,Padilla,29221,https://en.wikipedia.org/wiki/List_of_cigar_brands,True,brands,7.0
6,MR,2601573,Valdez,22210,https://en.wikipedia.org/wiki/List_of_cigar_brands,True,brands,4.0
7,MR,2601573,Tatiana,21871,https://en.wikipedia.org/wiki/List_of_cigar_brands,True,brands,1.0
8,MR,2601573,Croix,19528,https://en.wikipedia.org/wiki/List_of_cigar_brands,True,brands,4.0
9,MR,2601573,Alamo,19219,https://en.wikipedia.org/wiki/List_of_cigar_brands,True,brands,1.0
10,MS,782006,Cool,317181,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,79.0
11,MS,782006,Kent,233505,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,9.0
12,MS,782006,Newport,90129,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,0.0
13,MS,782006,LD,34542,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,13.0
14,MS,782006,Regent,32207,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,0.0
15,MS,782006,Marlboro,19058,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,0.0
16,MS,782006,Pueblo,18961,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,2.0
17,MS,782006,Winfield,18658,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,0.0
18,MS,782006,North Pole,15504,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,0.0
19,MS,782006,Vantage,13938,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,2.0
20,Microsoft,611659,Apple,346971,https://en.wikipedia.org/wiki/List_of_electronics_brands,False,brands,766.0
21,Microsoft,611659,Google,319132,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,835.0
22,Microsoft,611659,Sony,223059,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,893.0
23,Microsoft,611659,IBM,174355,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,596.0
24,Microsoft,611659,Intel,173708,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,722.0
25,Microsoft,611659,Amazon,112967,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,290.0
26,Microsoft,611659,Dell,109489,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,217.0
27,Microsoft,611659,BT,107903,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,11.0
28,Microsoft,611659,Kingston,78706,https://en.wikipedia.org/wiki/List_of_electronics_brands,False,brands,279.0
29,Microsoft,611659,HP,77193,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,169.0
30,Ford,538094,Toyota,213302,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,866.0
31,Ford,538094,Bristol,209550,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,9.0
32,Ford,538094,Chrysler,163926,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,699.0
33,Ford,538094,Honda,163026,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,369.0
34,Ford,538094,Ferrari,92463,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,86.0
35,Ford,538094,BMW,91546,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,179.0
36,Ford,538094,Nissan,87485,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,221.0
37,Ford,538094,Mitsubishi,79047,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,63.0
38,Ford,538094,Renault,76155,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,68.0
39,Ford,538094,Chevrolet,69521,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,260.0
40,Apple,346971,Google,319132,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,696.0
41,Apple,346971,Sony,223059,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,582.0
42,Apple,346971,IBM,174355,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,342.0
43,Apple,346971,Intel,173708,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,674.0
44,Apple,346971,Amazon,112967,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,740.0
45,Apple,346971,Dell,109489,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,376.0
46,Apple,346971,BT,107903,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,23.0
47,Apple,346971,Kingston,78706,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,14.0
48,Apple,346971,HP,77193,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,190.0
49,Google,319132,Sony,223059,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,176.0
50,Google,319132,IBM,174355,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,104.0
51,Google,319132,Intel,173708,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,138.0
52,Google,319132,Amazon,112967,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,652.0
53,Google,319132,Dell,109489,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,61.0
54,Google,319132,BT,107903,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,16.0
55,Google,319132,Kingston,78706,https://en.wikipedia.org/wiki/List_of_electronics_brands,False,brands,177.0
56,Google,319132,HP,77193,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,94.0
57,Cool,317181,Kent,233505,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,4.0
58,Cool,317181,Newport,90129,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,5.0
59,Cool,317181,LD,34542,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,1.0
60,Cool,317181,Regent,32207,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,2.0
61,Cool,317181,Marlboro,19058,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,1.0
62,Cool,317181,Pueblo,18961,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,1.0
63,Cool,317181,Winfield,18658,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,1.0
64,Cool,317181,North Pole,15504,https://en.wikipedia.org/wiki/List_of_cigarette_brands,False,brands,180.0
65,Cool,317181,Vantage,13938,https://en.wikipedia.org/wiki/List_of_cigarette_brands,False,brands,343.0
66,NorthWest,237150,UV,16501,https://en.wikipedia.org/wiki/List_of_vodkas,True,brands,0.0
67,NorthWest,237150,Chopin,15956,https://en.wikipedia.org/wiki/List_of_vodkas,False,brands,22.0
68,NorthWest,237150,Van Gogh,14989,https://en.wikipedia.org/wiki/List_of_vodkas,True,brands,0.0
69,NorthWest,237150,Popov,9394,https://en.wikipedia.org/wiki/List_of_vodkas,True,brands,0.0
70,NorthWest,237150,Kauffman,9383,https://en.wikipedia.org/wiki/List_of_vodkas,True,brands,0.0
71,NorthWest,237150,Belvedere,7512,https://en.wikipedia.org/wiki/List_of_vodkas,True,brands,0.0
72,NorthWest,237150,Romanov,6887,https://en.wikipedia.org/wiki/List_of_vodkas,True,brands,0.0
73,NorthWest,237150,Vox,6639,https://en.wikipedia.org/wiki/List_of_vodkas,True,brands,0.0
74,NorthWest,237150,Rachmaninoff,6069,https://en.wikipedia.org/wiki/List_of_vodkas,False,brands,6.0
75,NorthWest,237150,Cirrus,5145,https://en.wikipedia.org/wiki/List_of_vodkas,True,brands,1.0
76,Kent,233505,Newport,90129,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,7.0
77,Kent,233505,LD,34542,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,0.0
78,Kent,233505,Regent,32207,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,3.0
79,Kent,233505,Marlboro,19058,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,0.0
80,Kent,233505,Pueblo,18961,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,0.0
81,Kent,233505,Winfield,18658,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,2.0
82,Kent,233505,North Pole,15504,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,0.0
83,Kent,233505,Vantage,13938,https://en.wikipedia.org/wiki/List_of_cigarette_brands,True,brands,0.0
84,Sony,223059,IBM,174355,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,69.0
85,Sony,223059,Intel,173708,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,129.0
86,Sony,223059,Amazon,112967,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,146.0
87,Sony,223059,Dell,109489,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,125.0
88,Sony,223059,BT,107903,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,17.0
89,Sony,223059,Kingston,78706,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,20.0
90,Sony,223059,HP,77193,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,98.0
91,Toyota,213302,Bristol,209550,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,2.0
92,Toyota,213302,Chrysler,163926,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,120.0
