,word_a,freq_a,word_b,freq_b,type,use_marker,d_type,count
0,Array,163914,Graph,57853,https://en.wikipedia.org/wiki/List_of_data_structures,True,compsci,17.0
1,Array,163914,Stack,55526,https://en.wikipedia.org/wiki/List_of_data_structures,True,compsci,62.0
2,Array,163914,Queue,34677,https://en.wikipedia.org/wiki/List_of_data_structures,True,compsci,23.0
3,Array,163914,Integer,25232,https://en.wikipedia.org/wiki/List_of_data_structures,True,compsci,43.0
4,Array,163914,Boolean,9369,https://en.wikipedia.org/wiki/List_of_data_structures,True,compsci,13.0
5,Array,163914,Pagoda,7050,https://en.wikipedia.org/wiki/List_of_data_structures,True,compsci,0.0
6,Array,163914,Floating-point,4492,https://en.wikipedia.org/wiki/List_of_data_structures,True,compsci,1.0
7,Array,163914,Bitmap,4410,https://en.wikipedia.org/wiki/List_of_data_structures,True,compsci,9.0
8,Array,163914,Trie,4318,https://en.wikipedia.org/wiki/List_of_data_structures,True,compsci,5.0
9,Array,163914,Multimap,2011,https://en.wikipedia.org/wiki/List_of_data_structures,True,compsci,0.0
10,Java,124661,A# .NET,79877,https://en.wikipedia.org/wiki/List_of_programming_languages,True,compsci,4.0
11,Java,124661,SR,75987,https://en.wikipedia.org/wiki/List_of_programming_languages,True,compsci,4.0
12,Java,124661,Swift,66778,https://en.wikipedia.org/wiki/List_of_programming_languages,False,compsci,362.0
13,Java,124661,Mesa,56104,https://en.wikipedia.org/wiki/List_of_programming_languages,False,compsci,81.0
14,Java,124661,Maple,55629,https://en.wikipedia.org/wiki/List_of_programming_languages,True,compsci,6.0
15,Java,124661,Curry,52297,https://en.wikipedia.org/wiki/List_of_programming_languages,True,compsci,1.0
16,Java,124661,Ruby,48376,https://en.wikipedia.org/wiki/List_of_programming_languages,True,compsci,509.0
17,Java,124661,FOIL,48360,https://en.wikipedia.org/wiki/List_of_programming_languages,True,compsci,1.0
18,Java,124661,Miranda,46090,https://en.wikipedia.org/wiki/List_of_programming_languages,True,compsci,1.0
19,Java,124661,Transcript,44138,https://en.wikipedia.org/wiki/List_of_programming_languages,True,compsci,1.0
20,Oracle,91736,Panorama,12984,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems,True,compsci,1.0
21,Oracle,91736,MySQL,9021,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems,True,compsci,377.0
22,Oracle,91736,H2,6936,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems,True,compsci,12.0
23,Oracle,91736,Firebird,5935,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems,True,compsci,10.0
24,Oracle,91736,Ingres,3166,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems,True,compsci,20.0
25,Oracle,91736,Informix,2857,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems,True,compsci,59.0
26,Oracle,91736,Polyhedra,2635,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems,True,compsci,1.0
27,Oracle,91736,PostgreSQL,2465,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems,True,compsci,69.0
28,Oracle,91736,Microsoft Access,2277,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems,False,compsci,889.0
29,Oracle,91736,Microsoft SQL Server,1785,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems,True,compsci,47.0
30,Boosting,80409,Parity,34430,https://en.wikipedia.org/wiki/List_of_algorithms,True,compsci,2.0
31,Boosting,80409,RSA,19894,https://en.wikipedia.org/wiki/List_of_algorithms,True,compsci,1.0
32,Boosting,80409,SIFT,10805,https://en.wikipedia.org/wiki/List_of_algorithms,True,compsci,0.0
33,Boosting,80409,Shading,8567,https://en.wikipedia.org/wiki/List_of_algorithms,True,compsci,1.0
34,Boosting,80409,Fortuna,8493,https://en.wikipedia.org/wiki/List_of_algorithms,True,compsci,0.0
35,Boosting,80409,DSA,8091,https://en.wikipedia.org/wiki/List_of_algorithms,True,compsci,0.0
36,Boosting,80409,PageRank,3403,https://en.wikipedia.org/wiki/List_of_algorithms,True,compsci,2.0
37,Boosting,80409,Neural Network,3116,https://en.wikipedia.org/wiki/List_of_algorithms,True,compsci,1.0
38,Boosting,80409,Blowfish,2470,https://en.wikipedia.org/wiki/List_of_algorithms,True,compsci,0.0
39,Boosting,80409,Local search,1651,https://en.wikipedia.org/wiki/List_of_algorithms,True,compsci,0.0
40,A# .NET,79877,SR,75987,https://en.wikipedia.org/wiki/List_of_programming_languages,True,compsci,0.0
41,A# .NET,79877,Swift,66778,https://en.wikipedia.org/wiki/List_of_programming_languages,True,compsci,0.0
42,A# .NET,79877,Mesa,56104,https://en.wikipedia.org/wiki/List_of_programming_languages,True,compsci,0.0
43,A# .NET,79877,Maple,55629,https://en.wikipedia.org/wiki/List_of_programming_languages,True,compsci,0.0
44,A# .NET,79877,Curry,52297,https://en.wikipedia.org/wiki/List_of_programming_languages,True,compsci,1.0
45,A# .NET,79877,Ruby,48376,https://en.wikipedia.org/wiki/List_of_programming_languages,True,compsci,0.0
46,A# .NET,79877,FOIL,48360,https://en.wikipedia.org/wiki/List_of_programming_languages,True,compsci,0.0
47,A# .NET,79877,Miranda,46090,https://en.wikipedia.org/wiki/List_of_programming_languages,True,compsci,0.0
48,A# .NET,79877,Transcript,44138,https://en.wikipedia.org/wiki/List_of_programming_languages,True,compsci,0.0
