word_a	freq_a	word_b	freq_b	type	use_marker
Microsoft	611659	Apple	346971	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Microsoft	611659	Google	319132	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Microsoft	611659	Sony	223059	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Microsoft	611659	IBM	174355	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Microsoft	611659	Intel	173708	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Microsoft	611659	Amazon	112967	https://en.wikipedia.org/wiki/List_of_electronics_brands	False
Microsoft	611659	Dell	109489	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Microsoft	611659	Kingston	78706	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Microsoft	611659	HP	77193	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Microsoft	611659	Nokia	72890	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Ford	538094	Toyota	213302	https://en.wikipedia.org/wiki/List_of_car_brands	True
Ford	538094	Bristol	209550	https://en.wikipedia.org/wiki/List_of_car_brands	True
Ford	538094	Chrysler	163926	https://en.wikipedia.org/wiki/List_of_car_brands	True
Ford	538094	Honda	163026	https://en.wikipedia.org/wiki/List_of_car_brands	True
Ford	538094	Ferrari	92463	https://en.wikipedia.org/wiki/List_of_car_brands	True
Ford	538094	BMW	91546	https://en.wikipedia.org/wiki/List_of_car_brands	True
Ford	538094	Nissan	87485	https://en.wikipedia.org/wiki/List_of_car_brands	True
Ford	538094	Fraser	79548	https://en.wikipedia.org/wiki/List_of_car_brands	True
Ford	538094	Mitsubishi	79047	https://en.wikipedia.org/wiki/List_of_car_brands	True
Ford	538094	Renault	76155	https://en.wikipedia.org/wiki/List_of_car_brands	True
Apple	346971	Google	319132	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Apple	346971	Sony	223059	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Apple	346971	IBM	174355	https://en.wikipedia.org/wiki/List_of_electronics_brands	False
Apple	346971	Intel	173708	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Apple	346971	Amazon	112967	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Apple	346971	Dell	109489	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Apple	346971	Kingston	78706	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Apple	346971	HP	77193	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Apple	346971	Nokia	72890	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Google	319132	Sony	223059	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Google	319132	IBM	174355	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Google	319132	Intel	173708	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Google	319132	Amazon	112967	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Google	319132	Dell	109489	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Google	319132	Kingston	78706	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Google	319132	HP	77193	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Google	319132	Nokia	72890	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Sony	223059	IBM	174355	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Sony	223059	Intel	173708	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Sony	223059	Amazon	112967	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Sony	223059	Dell	109489	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Sony	223059	Kingston	78706	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Sony	223059	HP	77193	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Sony	223059	Nokia	72890	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Toyota	213302	Bristol	209550	https://en.wikipedia.org/wiki/List_of_car_brands	True
Toyota	213302	Chrysler	163926	https://en.wikipedia.org/wiki/List_of_car_brands	True
Toyota	213302	Honda	163026	https://en.wikipedia.org/wiki/List_of_car_brands	False
Toyota	213302	Ferrari	92463	https://en.wikipedia.org/wiki/List_of_car_brands	True
Toyota	213302	BMW	91546	https://en.wikipedia.org/wiki/List_of_car_brands	True
Toyota	213302	Nissan	87485	https://en.wikipedia.org/wiki/List_of_car_brands	True
Toyota	213302	Fraser	79548	https://en.wikipedia.org/wiki/List_of_car_brands	True
Toyota	213302	Mitsubishi	79047	https://en.wikipedia.org/wiki/List_of_car_brands	True
Toyota	213302	Renault	76155	https://en.wikipedia.org/wiki/List_of_car_brands	True
Momentum	211314	Ace +	75238	https://en.wikipedia.org/wiki/Paracetamol_brand_names	True
Momentum	211314	Napa	25196	https://en.wikipedia.org/wiki/Paracetamol_brand_names	True
Momentum	211314	Panda	15826	https://en.wikipedia.org/wiki/Paracetamol_brand_names	True
Momentum	211314	Herron	8760	https://en.wikipedia.org/wiki/Paracetamol_brand_names	True
Momentum	211314	Pain Relief	7897	https://en.wikipedia.org/wiki/Paracetamol_brand_names	True
Momentum	211314	Tylenol	4905	https://en.wikipedia.org/wiki/Paracetamol_brand_names	True
Bristol	209550	Chrysler	163926	https://en.wikipedia.org/wiki/List_of_car_brands	True
Bristol	209550	Honda	163026	https://en.wikipedia.org/wiki/List_of_car_brands	True
Bristol	209550	Ferrari	92463	https://en.wikipedia.org/wiki/List_of_car_brands	True
Bristol	209550	BMW	91546	https://en.wikipedia.org/wiki/List_of_car_brands	True
Bristol	209550	Nissan	87485	https://en.wikipedia.org/wiki/List_of_car_brands	True
Bristol	209550	Fraser	79548	https://en.wikipedia.org/wiki/List_of_car_brands	True
Bristol	209550	Mitsubishi	79047	https://en.wikipedia.org/wiki/List_of_car_brands	True
Bristol	209550	Renault	76155	https://en.wikipedia.org/wiki/List_of_car_brands	True
IBM	174355	Intel	173708	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
IBM	174355	Amazon	112967	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
IBM	174355	Dell	109489	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
IBM	174355	Kingston	78706	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
IBM	174355	HP	77193	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
IBM	174355	Nokia	72890	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Intel	173708	Amazon	112967	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Intel	173708	Dell	109489	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Intel	173708	Kingston	78706	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Intel	173708	HP	77193	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Intel	173708	Nokia	72890	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Chrysler	163926	Honda	163026	https://en.wikipedia.org/wiki/List_of_car_brands	True
Chrysler	163926	Ferrari	92463	https://en.wikipedia.org/wiki/List_of_car_brands	True
Chrysler	163926	BMW	91546	https://en.wikipedia.org/wiki/List_of_car_brands	True
Chrysler	163926	Nissan	87485	https://en.wikipedia.org/wiki/List_of_car_brands	True
Chrysler	163926	Fraser	79548	https://en.wikipedia.org/wiki/List_of_car_brands	True
Chrysler	163926	Mitsubishi	79047	https://en.wikipedia.org/wiki/List_of_car_brands	True
Chrysler	163926	Renault	76155	https://en.wikipedia.org/wiki/List_of_car_brands	True
Honda	163026	Ferrari	92463	https://en.wikipedia.org/wiki/List_of_car_brands	False
Honda	163026	BMW	91546	https://en.wikipedia.org/wiki/List_of_car_brands	True
Honda	163026	Nissan	87485	https://en.wikipedia.org/wiki/List_of_car_brands	True
