	word_a	freq_a	word_b	freq_b	type	use_marker	d_type	count
172	science	699621	engineering	358112	seed=meteorology;cui=0	TRUE	jbt	5418
194	security	2223564	management	1249105	seed=banking;cui=1	TRUE	jbt	4230
55	france	1846339	germany	1590516	seed=Ireland;cui=0	TRUE	jbt	3430
209	physics	125011	chemistry	115541	seed=astronomy;cui=0	TRUE	jbt	2176
3	cheese	157167	butter	122657	seed=chocolate;cui=1	TRUE	jbt	1320
213	chemistry	115541	biology	90130	seed=astronomy;cui=0	TRUE	jbt	1312
168	facebook	104785	linkedin	4284	seed=Twitter;cui=2	TRUE	jbt	1281
198	management	1249105	finance	560641	seed=banking;cui=1	TRUE	jbt	1274
166	facebook	104785	youtube	85999	seed=Twitter;cui=2	TRUE	jbt	1267
118	health	2049448	career	1624437	seed=Tennis;cui=1	TRUE	jbt	1254
167	facebook	104785	myspace	43974	seed=Twitter;cui=2	TRUE	jbt	1157
56	france	1846339	britain	1428023	seed=Ireland;cui=0	FALSE	jbt	1096
197	management	1249105	insurance	884819	seed=banking;cui=1	TRUE	jbt	1008
211	physics	125011	biology	90130	seed=astronomy;cui=0	TRUE	jbt	988
195	security	2223564	insurance	884819	seed=banking;cui=1	TRUE	jbt	986
74	energy	1229847	housing	737552	seed=Haiti;cui=0	TRUE	jbt	861
58	germany	1590516	britain	1428023	seed=Ireland;cui=0	TRUE	jbt	812
154	hospital	1027284	clinic	144022	seed=spine;cui=3	TRUE	jbt	711
6	butter	122657	vanilla	34091	seed=chocolate;cui=1	TRUE	jbt	609
206	change	2009356	democracy	461927	seed=peace;cui=0	TRUE	jbt	579
204	clinton	1652759	reagan	212189	seed=president;cui=1	FALSE	jbt	561
183	infantry	136210	cavalry	47220	seed=army;cui=4	TRUE	jbt	525
107	jupiter	57414	saturn	51316	seed=Uranus;cui=0	TRUE	jbt	504
132	pakistan	1162158	bangladesh	285618	seed=Danish;cui=2	TRUE	jbt	494
201	policy	1686835	freedom	485289	seed=democracy;cui=0	TRUE	jbt	417
36	restaurant	456304	lounge	63313	seed=plum;cui=2	TRUE	jbt	400
111	soccer	398463	hockey	264650	seed=Curling;cui=0	TRUE	jbt	389
10	chicken	201188	potato	62292	seed=onion;cui=1	TRUE	jbt	365
8	vanilla	34091	caramel	9837	seed=chocolate;cui=1	TRUE	jbt	360
162	microsoft	611659	amazon	112967	seed=Google;cui=0	TRUE	jbt	356
185	jersey	597640	pennsylvania	417775	seed=railroad;cui=2	TRUE	jbt	355
199	insurance	884819	finance	560641	seed=banking;cui=1	TRUE	jbt	345
173	science	699621	agriculture	232696	seed=meteorology;cui=0	FALSE	jbt	329
179	artillery	147651	infantry	136210	seed=army;cui=4	TRUE	jbt	317
11	chicken	201188	tomato	50917	seed=onion;cui=1	TRUE	jbt	297
196	security	2223564	finance	560641	seed=banking;cui=1	TRUE	jbt	224
88	philadelphia	479774	detroit	448525	seed=Seattle;cui=1	TRUE	jbt	217
169	youtube	85999	myspace	43974	seed=Twitter;cui=2	TRUE	jbt	211
150	trauma	71347	chiropractic	4502	seed=spine;cui=0	FALSE	jbt	204
89	philadelphia	479774	baltimore	281741	seed=Seattle;cui=1	TRUE	jbt	203
214	psychology	109566	biology	90130	seed=astronomy;cui=0	TRUE	jbt	201
174	science	699621	ecology	37846	seed=meteorology;cui=0	TRUE	jbt	197
7	butter	122657	caramel	9837	seed=chocolate;cui=1	TRUE	jbt	192
4	cheese	157167	vanilla	34091	seed=chocolate;cui=1	TRUE	jbt	172
12	chicken	201188	mushroom	24954	seed=onion;cui=1	TRUE	jbt	161
86	houston	532821	baltimore	281741	seed=Seattle;cui=1	TRUE	jbt	160
91	detroit	448525	baltimore	281741	seed=Seattle;cui=1	TRUE	jbt	158
85	houston	532821	detroit	448525	seed=Seattle;cui=1	TRUE	jbt	154
