word_a	freq_a	word_b	freq_b	type	use_marker	d_type	count
germany	1590516	australia	1437831	seed=japan;cui=0	FALSE	jbt	68523
francisco	692378	philadelphia	479774	seed=chicago;cui=1	FALSE	jbt	25668
facebook	104785	flickr	10652	seed=netflix;cui=0	FALSE	jbt	23383
facebook	104785	twitter	69996	seed=netflix;cui=0	TRUE	jbt	13288
seafood	48854	lobster	26935	seed=salmon;cui=0	FALSE	jbt	12710
potato	62292	carrot	19889	seed=apple;cui=0	FALSE	jbt	9770
tomato	50917	carrot	19889	seed=apple;cui=0	FALSE	jbt	8207
dessert	39026	yogurt	21715	seed=lemonade;cui=0	FALSE	jbt	5078
chocolate	138098	cappuccino	5619	seed=lemonade;cui=0	FALSE	jbt	3745
europe	1649553	germany	1590516	seed=japan;cui=0	TRUE	jbt	1512
australia	1437831	canada	1208839	seed=japan;cui=0	TRUE	jbt	1442
cheese	157167	butter	122657	seed=chocolate;cui=0	TRUE	jbt	1320
facebook	104785	youtube	85999	seed=netflix;cui=0	TRUE	jbt	1267
europe	1649553	canada	1208839	seed=japan;cui=0	TRUE	jbt	1152
russia	1657428	europe	1649553	seed=japan;cui=0	TRUE	jbt	1149
france	1846339	britain	1428023	seed=germany;cui=0	TRUE	jbt	1096
coldplay	11168	beatles	6484	seed=metallica;cui=0	FALSE	jbt	1081
europe	1649553	australia	1437831	seed=japan;cui=0	TRUE	jbt	1049
turkey	706081	chicken	201188	seed=cattle;cui=0	TRUE	jbt	866
firefox	24960	photoshop	15338	seed=openoffice;cui=0	FALSE	jbt	865
youtube	85999	twitter	69996	seed=netflix;cui=0	TRUE	jbt	828
russia	1657428	germany	1590516	seed=japan;cui=0	TRUE	jbt	796
chocolate	138098	dessert	39026	seed=lemonade;cui=0	TRUE	jbt	674
germany	1590516	canada	1208839	seed=japan;cui=0	TRUE	jbt	610
butter	122657	vanilla	34091	seed=chocolate;cui=0	TRUE	jbt	609
france	1846339	belgium	338927	seed=germany;cui=0	TRUE	jbt	510
russia	1657428	canada	1208839	seed=japan;cui=0	TRUE	jbt	458
butter	122657	cookie	36962	seed=chocolate;cui=0	TRUE	jbt	451
france	1846339	netherlands	3635	seed=germany;cui=0	TRUE	jbt	436
boston	1005144	philadelphia	479774	seed=chicago;cui=1	TRUE	jbt	435
