feature,class,f1,precision,recall
Unigrams,Weighted Average,0.8535796778653211,0.8522605673128097,0.8638334778837814
Unigrams,BETTER,0.7765237020316026,0.7678571428571429,0.7853881278538812
Unigrams,WORSE,0.4055944055944056,0.6041666666666666,0.30526315789473685
Unigrams,NONE,0.9244186046511629,0.9023836549375709,0.9475566150178785
Unigrams,Weighted Average,0.8554716335213818,0.8519959879000577,0.8637152777777778
Unigrams,BETTER,0.7842227378190256,0.7934272300469484,0.7752293577981652
Unigrams,WORSE,0.41558441558441556,0.5423728813559322,0.3368421052631579
Unigrams,NONE,0.9237929028504944,0.9022727272727272,0.9463647199046484
Unigrams,Weighted Average,0.8374105219666258,0.836794848230872,0.8515625
Unigrams,BETTER,0.7482678983833716,0.7534883720930232,0.7431192660550459
Unigrams,WORSE,0.34328358208955223,0.5897435897435898,0.24210526315789474
Unigrams,NONE,0.9165227403569374,0.8864142538975501,0.9487485101311085
Unigrams,Weighted Average,0.8513650034399264,0.8507434804221496,0.8611111111111112
Unigrams,BETTER,0.7579462102689487,0.8115183246073299,0.7110091743119266
Unigrams,WORSE,0.4666666666666667,0.6363636363636364,0.3684210526315789
Unigrams,NONE,0.9191977077363898,0.8852097130242825,0.9558998808104887
Unigrams,Weighted Average,0.8529349831687706,0.8493410930114458,0.86
Unigrams,BETTER,0.786046511627907,0.7971698113207548,0.7752293577981652
Unigrams,WORSE,0.42038216560509556,0.5238095238095238,0.35106382978723405
Unigrams,NONE,0.918855808523059,0.8994285714285715,0.9391408114558473
InferSent,Weighted Average,0.8506500865187611,0.8543505536996129,0.8620988725065047
InferSent,BETTER,0.7560439560439561,0.728813559322034,0.7853881278538812
InferSent,WORSE,0.40298507462686567,0.6923076923076924,0.28421052631578947
InferSent,NONE,0.9260337798485729,0.9054669703872438,0.9475566150178785
InferSent,Weighted Average,0.8442178537351362,0.8400425522261761,0.8550347222222222
InferSent,BETTER,0.76056338028169,0.7788461538461539,0.7431192660550459
InferSent,WORSE,0.36486486486486486,0.5094339622641509,0.28421052631578947
InferSent,NONE,0.9202312138728324,0.8933782267115602,0.9487485101311085
InferSent,Weighted Average,0.8485795332457159,0.8471699263750596,0.8567708333333334
InferSent,BETTER,0.7328605200945626,0.7560975609756098,0.7110091743119266
InferSent,WORSE,0.4868421052631578,0.6491228070175439,0.3894736842105263
InferSent,NONE,0.9196067090803933,0.8932584269662921,0.9475566150178785
InferSent,Weighted Average,0.8442552758715716,0.8424503626499604,0.8550347222222222
InferSent,BETTER,0.7312348668280872,0.7743589743589744,0.6926605504587156
InferSent,WORSE,0.4324324324324324,0.6037735849056604,0.3368421052631579
InferSent,NONE,0.9202524383247275,0.8871681415929203,0.9558998808104887
InferSent,Weighted Average,0.8580980543671705,0.8564348944556416,0.8669565217391304
InferSent,BETTER,0.7703016241299304,0.7793427230046949,0.7614678899082569
InferSent,WORSE,0.44897959183673475,0.6226415094339622,0.35106382978723405
InferSent,NONE,0.9268292682926829,0.9027149321266968,0.9522673031026253
Word Embedding,Weighted Average,0.8271253759035745,0.826734779447762,0.8430182133564614
Word Embedding,BETTER,0.7168141592920354,0.6952789699570815,0.7397260273972602
Word Embedding,WORSE,0.28125,0.5454545454545454,0.18947368421052632
Word Embedding,NONE,0.9177288528389339,0.8928974069898534,0.9439809296781884
Word Embedding,Weighted Average,0.8192059386400454,0.8149382012212374,0.8376736111111112
Word Embedding,BETTER,0.701123595505618,0.6872246696035242,0.7155963302752294
Word Embedding,WORSE,0.2222222222222222,0.4516129032258064,0.14736842105263157
Word Embedding,NONE,0.9174841315637623,0.889261744966443,0.9475566150178785
Word Embedding,Weighted Average,0.815230268964855,0.8104470940938289,0.8342013888888888
Word Embedding,BETTER,0.7085201793721972,0.6929824561403509,0.7247706422018348
Word Embedding,WORSE,0.20800000000000002,0.4333333333333334,0.1368421052631579
Word Embedding,NONE,0.9117137911136758,0.8836689038031319,0.9415971394517283
Word Embedding,Weighted Average,0.8027309175294844,0.7952759594651543,0.8237847222222222
Word Embedding,BETTER,0.657074340527578,0.6884422110552764,0.6284403669724771
Word Embedding,WORSE,0.20312500000000003,0.3939393939393939,0.1368421052631579
Word Embedding,NONE,0.9084707220011372,0.8684782608695651,0.9523241954707986
Word Embedding,Weighted Average,0.8213585897166152,0.8194442014693454,0.8391304347826087
Word Embedding,BETTER,0.7061503416856492,0.7013574660633484,0.7110091743119266
Word Embedding,WORSE,0.256,0.5161290322580645,0.1702127659574468
Word Embedding,NONE,0.9147465437788018,0.8841870824053452,0.9474940334128878
POS n-grams,Weighted Average,0.7816753651324689,0.7741556033186637,0.7970511708586296
POS n-grams,BETTER,0.6382978723404256,0.5976095617529881,0.684931506849315
POS n-grams,WORSE,0.15267175572519082,0.2777777777777778,0.10526315789473684
POS n-grams,NONE,0.8903225806451611,0.8764434180138568,0.9046483909415971
POS n-grams,Weighted Average,0.7889489188792074,0.7820494145942105,0.8142361111111112
POS n-grams,BETTER,0.6325581395348837,0.6415094339622642,0.6238532110091743
POS n-grams,WORSE,0.13793103448275862,0.38095238095238093,0.08421052631578947
POS n-grams,NONE,0.9032992036405008,0.8639825897714908,0.9463647199046484
POS n-grams,Weighted Average,0.7631468841036927,0.7523458660084404,0.7821180555555556
POS n-grams,BETTER,0.5982532751091703,0.5708333333333333,0.6284403669724771
POS n-grams,WORSE,0.11199999999999999,0.23333333333333334,0.07368421052631578
POS n-grams,NONE,0.8797210923881463,0.8582766439909297,0.902264600715137
POS n-grams,Weighted Average,0.7627286212937345,0.7518077019451281,0.7838541666666666
POS n-grams,BETTER,0.5492957746478873,0.5625,0.536697247706422
POS n-grams,WORSE,0.15625,0.30303030303030304,0.10526315789473684
POS n-grams,NONE,0.8868571428571428,0.8518111964873765,0.9249106078665077
POS n-grams,Weighted Average,0.7829684961496888,0.7749990207467312,0.8
POS n-grams,BETTER,0.6075388026607539,0.5879828326180258,0.6284403669724771
POS n-grams,WORSE,0.171875,0.3235294117647059,0.11702127659574468
POS n-grams,NONE,0.8971528181289948,0.8742921857304642,0.9212410501193318
Contains JJR,Weighted Average,0.7688261746181329,0.7390899329754517,0.8013876843018214
Contains JJR,BETTER,0.6046511627906976,0.562992125984252,0.6529680365296804
Contains JJR,WORSE,0.0,0.0,0.0
Contains JJR,NONE,0.8987341772151899,0.8687430478309232,0.930870083432658
Contains JJR,Weighted Average,0.7597916306117211,0.7281897048719873,0.7942708333333334
Contains JJR,BETTER,0.5916114790286976,0.5702127659574469,0.6146788990825688
Contains JJR,WORSE,0.0,0.0,0.0
Contains JJR,NONE,0.8895216400911163,0.8516902944383862,0.930870083432658
Contains JJR,Weighted Average,0.7394055618734238,0.7067529975705583,0.7760416666666666
Contains JJR,BETTER,0.5416666666666667,0.5467289719626168,0.536697247706422
Contains JJR,WORSE,0.0,0.0,0.0
Contains JJR,NONE,0.8745075970737197,0.8283582089552238,0.9261025029797377
Contains JJR,Weighted Average,0.7550299585096293,0.7217555595978857,0.7925347222222222
Contains JJR,BETTER,0.5674418604651162,0.5754716981132075,0.5596330275229358
Contains JJR,WORSE,0.0,0.0,0.0
Contains JJR,NONE,0.8892636312535132,0.8414893617021277,0.9427890345649583
Contains JJR,Weighted Average,0.7557723442600311,0.725525588438307,0.788695652173913
Contains JJR,BETTER,0.5900216919739697,0.5596707818930041,0.6238532110091743
Contains JJR,WORSE,0.0,0.0,0.0
