feature,class,f1,precision,recall
Unigrams,Weighted Average,0.8779578899869497,0.877614976064081,0.8802083333333334
Unigrams,ARG,0.7668918918918919,0.8136200716845878,0.7252396166134185
Unigrams,NONE,0.9193925233644861,0.9014891179839634,0.9380214541120382
Unigrams,Weighted Average,0.878914222395357,0.8785487601481723,0.8810763888888888
Unigrams,ARG,0.7689713322091063,0.8142857142857143,0.7284345047923323
Unigrams,NONE,0.9199298655756866,0.9025229357798165,0.9380214541120382
Unigrams,Weighted Average,0.8906255087160291,0.8912119052868062,0.8932291666666666
Unigrams,ARG,0.7890222984562607,0.8518518518518519,0.7348242811501597
Unigrams,NONE,0.9285299244625218,0.9058956916099773,0.9523241954707986
Unigrams,Weighted Average,0.8713368611689436,0.8706711782580249,0.8732638888888888
Unigrams,ARG,0.7558528428093646,0.7929824561403509,0.7220447284345048
Unigrams,NONE,0.9144196951934349,0.8996539792387542,0.929678188319428
Unigrams,Weighted Average,0.8720341983366842,0.8714052992100857,0.8740225890529973
Unigrams,ARG,0.7571189279731994,0.795774647887324,0.7220447284345048
Unigrams,NONE,0.9149560117302052,0.8996539792387543,0.9307875894988067
InferSent,Weighted Average,0.8752888288317534,0.8746173225876834,0.8767361111111112
InferSent,ARG,0.7649006622516556,0.7938144329896907,0.7380191693290735
InferSent,NONE,0.916470588235294,0.9047619047619048,0.9284862932061978
InferSent,Weighted Average,0.8948061104013243,0.8946614017976484,0.8949652777777778
InferSent,ARG,0.8057784911717496,0.8096774193548387,0.8019169329073482
InferSent,NONE,0.9280190362879238,0.9263657957244654,0.929678188319428
InferSent,Weighted Average,0.8888328267686214,0.8885454957162084,0.890625
InferSent,ARG,0.7885906040268457,0.8303886925795053,0.7507987220447284
InferSent,NONE,0.9262295081967213,0.9102416570771001,0.9427890345649583
InferSent,Weighted Average,0.8938826236459513,0.8936937311970783,0.8940972222222222
InferSent,ARG,0.8038585209003216,0.8090614886731392,0.7987220447284346
InferSent,NONE,0.9274673008323424,0.9252669039145908,0.929678188319428
