feature,class,f1,precision,recall
full_paths_original_4_aip,Overall,0.6165585947357449,0.6053289576496327,0.7222222222222222
full_paths_original_4_aip,ARG,0.024390243902439022,0.2777777777777778,0.012755102040816327
full_paths_original_4_aip,NONE,0.8380566801619433,0.7278481012658228,0.9875954198473282
middle_paths_unrestricted_16,Overall,0.2325504366154773,0.3671303398427243,0.24166666666666667
middle_paths_unrestricted_16,ARG,0.2601626016260163,0.17712177121771217,0.4897959183673469
middle_paths_unrestricted_16,NONE,0.2222222222222222,0.43820224719101125,0.14885496183206107
Bag-Of-Words,Overall,0.8864602618723652,0.8859232129325587,0.8875
Bag-Of-Words,ARG,0.7874015748031497,0.8108108108108109,0.7653061224489796
Bag-Of-Words,NONE,0.9235127478753541,0.914018691588785,0.933206106870229
InferSent,Overall,0.8869458563970465,0.8865392254220458,0.8875
InferSent,ARG,0.7901554404145078,0.8026315789473685,0.7780612244897959
InferSent,NONE,0.9231499051233397,0.9179245283018868,0.9284351145038168
Word Embedding,Overall,0.8884349134133802,0.8880833693480294,0.8888888888888888
Word Embedding,ARG,0.79328165374677,0.8036649214659686,0.7831632653061225
Word Embedding,NONE,0.9240265906932574,0.9196597353497165,0.9284351145038168
POS n-grams,Overall,0.8505143836488743,0.8503428135661116,0.8506944444444444
POS n-grams,ARG,0.7247119078104993,0.7275064267352186,0.7219387755102041
POS n-grams,NONE,0.8975702715578847,0.8962892483349191,0.898854961832061
Contains JJR,Overall,0.8201088675854566,0.8233203212024383,0.8298611111111112
Contains JJR,ARG,0.6359583952451708,0.7615658362989324,0.5459183673469388
Contains JJR,NONE,0.8889895786135025,0.8464193270060397,0.9360687022900763
