feature,class,f1,precision,recall
full_paths_original_4_aip,Overall,0.7134688776436646,0.7581585778928646,0.7647569444444444
full_paths_original_4_aip,ARG,0.32754342431761785,0.7333333333333333,0.2108626198083067
full_paths_original_4_aip,NONE,0.8574434508153602,0.7674199623352166,0.9713945172824792
full_paths_original_4_aip,Overall,0.7067690403034411,0.7537598323895724,0.7612847222222222
full_paths_original_4_aip,ARG,0.30730478589420657,0.7261904761904762,0.19488817891373802
full_paths_original_4_aip,NONE,0.8557944415312009,0.7640449438202247,0.9725864123957092
full_paths_original_4_aip,Overall,0.7211488975312348,0.7743213532173235,0.7717013888888888
full_paths_original_4_aip,ARG,0.34413965087281795,0.7840909090909091,0.22044728434504793
full_paths_original_4_aip,NONE,0.8617971623751971,0.7706766917293233,0.9773539928486293
full_paths_original_4_aip,Overall,0.7125106942108234,0.7629146796956833,0.765625
full_paths_original_4_aip,ARG,0.32160804020100503,0.7529411764705882,0.20447284345047922
full_paths_original_4_aip,NONE,0.8583420776495279,0.7666354264292408,0.9749702026221693
full_paths_original_4_aip,Overall,0.7183539558941401,0.7609003924193234,0.7671589921807124
full_paths_original_4_aip,ARG,0.34313725490196073,0.7368421052631579,0.22364217252396165
full_paths_original_4_aip,NONE,0.8585005279831045,0.7698863636363636,0.9701670644391408
middle_paths_unrestricted_16,Overall,0.8378699433326569,0.836683929546357,0.8411458333333334
middle_paths_unrestricted_16,ARG,0.6893039049235993,0.7355072463768116,0.6485623003194888
middle_paths_unrestricted_16,NONE,0.8932944606413994,0.8744292237442923,0.9129916567342073
middle_paths_unrestricted_16,Overall,0.8459717754055217,0.8453145606573093,0.8498263888888888
middle_paths_unrestricted_16,ARG,0.7022375215146299,0.7611940298507462,0.6517571884984026
middle_paths_unrestricted_16,NONE,0.8995937318630296,0.8766968325791855,0.9237187127532777
middle_paths_unrestricted_16,Overall,0.8389553959203037,0.8392808917548501,0.8446180555555556
middle_paths_unrestricted_16,ARG,0.6831858407079646,0.7658730158730159,0.6166134185303515
middle_paths_unrestricted_16,NONE,0.8970672800460034,0.8666666666666667,0.929678188319428
middle_paths_unrestricted_16,Overall,0.8384610578372695,0.8373682848405546,0.8420138888888888
middle_paths_unrestricted_16,ARG,0.689419795221843,0.73992673992674,0.645367412140575
middle_paths_unrestricted_16,NONE,0.8940628637951106,0.8737201365187713,0.9153754469606674
middle_paths_unrestricted_16,Overall,0.8371330296828253,0.8361139664186612,0.8410078192875761
middle_paths_unrestricted_16,ARG,0.6861063464837048,0.7407407407407407,0.6389776357827476
middle_paths_unrestricted_16,NONE,0.8935427574171031,0.8717366628830874,0.9164677804295943
Bag-Of-Words,Overall,0.8685552047128433,0.8678274092056775,0.8697916666666666
Bag-Of-Words,ARG,0.7532894736842105,0.7762711864406779,0.731629392971246
Bag-Of-Words,NONE,0.9115566037735848,0.9019836639439907,0.9213349225268176
Bag-Of-Words,Overall,0.8915428630901041,0.8912672523717574,0.8932291666666666
Bag-Of-Words,ARG,0.7939698492462313,0.8345070422535211,0.7571884984025559
Bag-Of-Words,NONE,0.927943760984183,0.9124423963133641,0.9439809296781884
Bag-Of-Words,Overall,0.8775144284700176,0.8774918139785888,0.8802083333333334
Bag-Of-Words,ARG,0.7645051194539249,0.8205128205128205,0.7156549520766773
Bag-Of-Words,NONE,0.919674039580908,0.8987485779294654,0.9415971394517283
Bag-Of-Words,Overall,0.8828710113326087,0.8829310835436206,0.8828125
Bag-Of-Words,ARG,0.784688995215311,0.7834394904458599,0.7859424920127795
Bag-Of-Words,NONE,0.9194991055456172,0.9200477326968973,0.9189511323003575
Bag-Of-Words,Overall,0.8886128866636164,0.8893270246907996,0.891398783666377
Bag-Of-Words,ARG,0.7848537005163512,0.8507462686567164,0.7284345047923323
Bag-Of-Words,NONE,0.9273678094131319,0.9037372593431483,0.9522673031026253
InferSent,Overall,0.8754240194825151,0.8750564338718152,0.8758680555555556
InferSent,ARG,0.7689822294022617,0.7777777777777778,0.7603833865814696
InferSent,NONE,0.91513353115727,0.9113475177304965,0.9189511323003575
InferSent,Overall,0.8865137414920459,0.886036562821502,0.8880208333333334
InferSent,ARG,0.7853577371048253,0.8194444444444443,0.7539936102236422
InferSent,NONE,0.9242513211978862,0.9108796296296297,0.9380214541120382
InferSent,Overall,0.8928537825174221,0.8924128928175633,0.8940972222222222
InferSent,ARG,0.7980132450331127,0.8281786941580755,0.7699680511182109
InferSent,NONE,0.9282352941176472,0.916376306620209,0.9404052443384983
InferSent,Overall,0.8785932271846661,0.8787204158843944,0.8784722222222222
InferSent,ARG,0.7770700636942676,0.7746031746031746,0.7795527156549521
InferSent,NONE,0.9164677804295944,0.9175627240143369,0.9153754469606674
InferSent,Overall,0.887044897425729,0.8865308358481161,0.8879235447437012
InferSent,ARG,0.7888707037643208,0.8087248322147651,0.7699680511182109
InferSent,NONE,0.9237137788290952,0.9155920281359906,0.931980906921241
Word Embedding,Overall,0.8569050461452713,0.8563224660216316,0.8576388888888888
Word Embedding,ARG,0.7337662337662337,0.7458745874587459,0.7220447284345048
Word Embedding,NONE,0.9028436018957346,0.8975265017667845,0.9082240762812872
Word Embedding,Overall,0.8695030893125568,0.868800194397084,0.8706597222222222
Word Embedding,ARG,0.7553366174055829,0.777027027027027,0.7348242811501597
Word Embedding,NONE,0.912094395280236,0.9030373831775701,0.9213349225268176
Word Embedding,Overall,0.896249828931199,0.8958953067231027,0.8975694444444444
Word Embedding,ARG,0.8039867109634551,0.8373702422145328,0.7731629392971247
Word Embedding,NONE,0.9306698002350177,0.9177288528389339,0.9439809296781884
Word Embedding,Overall,0.8761743689484448,0.8765189695727694,0.8758680555555556
Word Embedding,ARG,0.7733755942947701,0.7672955974842768,0.7795527156549521
Word Embedding,NONE,0.9145248057381947,0.9172661870503597,0.9117997616209773
Word Embedding,Overall,0.8845230589377002,0.8840632537312479,0.8861859252823632
Word Embedding,ARG,0.7813021702838064,0.8181818181818182,0.7476038338658147
Word Embedding,NONE,0.9230769230769232,0.9086705202312139,0.9379474940334129
POS n-grams,Overall,0.822738286019536,0.8225654763952983,0.8229166666666666
POS n-grams,ARG,0.6730769230769232,0.6752411575562701,0.670926517571885
POS n-grams,NONE,0.8785714285714284,0.877526753864447,0.8796185935637664
POS n-grams,Overall,0.8341247109165771,0.8328876002356421,0.8376736111111112
POS n-grams,ARG,0.6814310051107326,0.7299270072992701,0.6389776357827476
POS n-grams,NONE,0.891089108910891,0.8712984054669703,0.9117997616209773
POS n-grams,Overall,0.8247402729504578,0.8235562840197157,0.8263888888888888
POS n-grams,ARG,0.6710526315789473,0.6915254237288135,0.6517571884984026
POS n-grams,NONE,0.8820754716981132,0.8728121353558926,0.8915375446960667
POS n-grams,Overall,0.830299164205281,0.8299046955463573,0.8307291666666666
POS n-grams,ARG,0.6859903381642511,0.6915584415584416,0.6805111821086262
POS n-grams,NONE,0.8841354723707664,0.8815165876777251,0.8867699642431466
POS n-grams,Overall,0.8396973905364209,0.8385223713511747,0.8427454387489139
POS n-grams,ARG,0.6937394247038917,0.737410071942446,0.6549520766773163
POS n-grams,NONE,0.8942139099941555,0.8762886597938144,0.9128878281622912
Contains JJR,Overall,0.8093837209624716,0.8078079635937679,0.8151041666666666
Contains JJR,ARG,0.6282722513089004,0.6923076923076923,0.5750798722044729
Contains JJR,NONE,0.876949740034662,0.8508968609865469,0.9046483909415971
Contains JJR,Overall,0.8277447925620307,0.8287559910782561,0.8350694444444444
Contains JJR,ARG,0.6570397111913358,0.7551867219917012,0.5814696485623003
Contains JJR,NONE,0.8914285714285713,0.8562019758507134,0.929678188319428
Contains JJR,Overall,0.8204060708203073,0.8244878539959681,0.8307291666666666
Contains JJR,ARG,0.6341463414634145,0.7681818181818182,0.5399361022364217
Contains JJR,NONE,0.8898927159796726,0.8454935622317596,0.9392133492252682
Contains JJR,Overall,0.8152928758063093,0.816157529692884,0.8237847222222222
Contains JJR,ARG,0.6302367941712204,0.7330508474576272,0.5527156549520766
Contains JJR,NONE,0.8843304843304843,0.8471615720524017,0.9249106078665077
Contains JJR,Overall,0.8184755364152246,0.8210257091100027,0.8279756733275413
Contains JJR,ARG,0.6333333333333333,0.7533039647577092,0.5463258785942492
Contains JJR,NONE,0.8876276958002269,0.8463203463203463,0.9331742243436754
