index,name,source,type,cleaned_name,freq
0,2XU,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,2XU,83
1,A.F.C.A,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,A.F.C.A,3
2,Adidas,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Adidas,17628
3,Air Jordan,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Air Jordan,1147
4,Airness,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Airness,507
5,Alanic,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Alanic,31
6,ANTA,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,ANTA,850
7,Ashworth,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Ashworth,7131
8,ASICS,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,ASICS,1075
9,Athleta,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Athleta,158
10,Athletic DNA,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Athletic DNA,11
11,Atletica,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Atletica,117
12,Audimas,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Audimas,0
13,BIKE Athletic Company,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,BIKE Athletic Company,3
14,BLK,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,BLK,381
15,BRG,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,BRG,480
16,Brine,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Brine,6519
17,Brooks,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Brooks,149405
18,Bukta,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Bukta,114
19,Burley-Sekem,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Burley-Sekem,8
20,BURRDA,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,BURRDA,11
21,Callaway,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Callaway,12587
22,Carbrini,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Carbrini,29
23,CCM,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,CCM,5890
24,Converse,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Converse,9660
25,De Marchi,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,De Marchi,260
26,Deuter Sport,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Deuter Sport,4
27,Diadora,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Diadora,263
28,Donnay,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Donnay,346
29,Dryworld,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Dryworld,0
30,Duarig,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Duarig,4
31,Dunlop,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Dunlop,16248
32,Dynamic,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Dynamic,159696
33,Ellesse,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Ellesse,189
34,ERKE,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,ERKE,79
35,Erima,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Erima,46
36,Erreà,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Erreà,11
37,Eureka Sports,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Eureka Sports,4
38,Everlast,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Everlast,1137
39,Fabletics,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Fabletics,5
40,Fairtex Gym,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Fairtex Gym,13
41,FBT,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,FBT,389
42,Fila,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Fila,3144
43,Finta,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Finta,284
44,FSS,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,FSS,1383
45,Galvin Green,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Galvin Green,4
46,Geox,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Geox,298
47,Givova,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Givova,15
48,Gola,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Gola,1286
49,Gul,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Gul,41993
50,Gunn & Moore,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Gunn & Moore,18
51,ISC,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,ISC,5202
52,Ivivva athletica,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Ivivva athletica,3
53,Jako,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Jako,253
54,Joma,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Joma,368
55,K-Swiss,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,K-Swiss,413
56,K2 Sports,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,K2 Sports,0
57,Kappa,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Kappa,20241
58,Karhu,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Karhu,372
59,Kelme,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Kelme,2640
60,Kempa,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Kempa,155
61,Keuka,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Keuka,713
62,Kukri,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Kukri,280
63,Le Coq Sportif,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Le Coq Sportif,152
64,Le Tigre,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Le Tigre,634
65,Legea,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Legea,98
66,Lescon,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Lescon,18
67,Li-Ning,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Li-Ning,752
68,Lonsdale,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Lonsdale,6810
69,Looptworks,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Looptworks,13
70,Lorna Jane,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Lorna Jane,0
71,Loudmouth Golf,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Loudmouth Golf,23
72,Luanvi,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Luanvi,4
73,Lululemon Athletica,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Lululemon Athletica,95
74,LUTA,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,LUTA,243
75,Macron,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Macron,337
76,Maverik Lacrosse,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Maverik Lacrosse,12
77,McKenzie,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,McKenzie,34082
78,Merooj,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Merooj,7
79,Meyba,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Meyba,8
80,Mikasa,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Mikasa,709
81,Mitchell & Ness,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Mitchell & Ness,0
82,Mitre,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Mitre,4222
83,Mizuno,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Mizuno,4416
84,Moncler,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Moncler,71
85,Mondetta,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Mondetta,36
86,Munich,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Munich,155798
87,Musto,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Musto,1733
88,Nanque,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Nanque,9
89,Newton Running,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Newton Running,20
90,Nike,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Nike,61042
91,Nomis,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Nomis,421
92,Olympikus,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Olympikus,19
93,Onda,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,Fashion,Onda,1931
