word_a,freq_a,word_b,freq_b,type,use_marker,d_type,count
Chopin,15956,Rachmaninoff,69,https://en.wikipedia.org/wiki/List_of_vodkas,TRUE,brands,944
Ibuprofen,4643,Advil,19,https://en.wikipedia.org/wiki/Ibuprofen_brand_names,TRUE,brands,943
Toyota,2132,Honda,1626,https://en.wikipedia.org/wiki/List_of_car_brands,FALSE,brands,928
Texas Instruments,15332,Qualcomm,142,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,919
Samsung,71469,Hyundai,55758,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,897
Apple,346971,Sony,2259,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,878
Nike,642,Reebok,247,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,TRUE,brands,874
Sony,2259,IBM,174355,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,873
Sony,2259,Amazon,112967,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,871
Microsoft,611659,Sony,2259,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,871
Microsoft,611659,Amazon,112967,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,859
Chrysler,163926,Ferrari,92463,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,857
Ford,5394,Chrysler,163926,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,856
Nokia,728,Philips,45573,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,844
Toyota,2132,Chrysler,163926,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,842
MR,21573,Playboy,32765,https://en.wikipedia.org/wiki/List_of_cigar_brands,TRUE,brands,841
Apple,346971,IBM,174355,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,837
Colt,226,Remington,11297,https://en.wikipedia.org/wiki/List_of_firearm_brands,TRUE,brands,834
Ford,5394,Renault,76155,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,832
MR,21573,Padilla,29221,https://en.wikipedia.org/wiki/List_of_cigar_brands,TRUE,brands,822
MR,21573,Cain,4,https://en.wikipedia.org/wiki/List_of_cigar_brands,TRUE,brands,815
Lenovo,161,HTC,51,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,789
Apple,346971,Amazon,112967,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,786
Toyota,2132,Ferrari,92463,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,786
Hitachi,19714,Fujitsu,18829,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,783
Samsung,71469,Canon,533,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,778
Apple,346971,Intel,1738,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,774
SRAM,1974,Campagnolo,2,https://en.wikipedia.org/wiki/List_of_bicycle_part_manufacturing_companies,TRUE,brands,773
Nokia,728,Samsung,71469,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,771
Sony,2259,Dell,9489,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,771
Remington,11297,Ruger,28,https://en.wikipedia.org/wiki/List_of_firearm_brands,TRUE,brands,769
Microsoft,611659,Apple,346971,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,766
Microsoft,611659,Google,319132,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,765
Samsung,71469,AMD,38746,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,765
Toyota,2132,Nissan,87485,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,764
Siemens,51558,Philips,45573,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,755
