index,name,source,type,cleaned_name,freq
0,Direct3D (a subset of DirectX),https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,Direct3D,994
1,OpenGL,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,OpenGL,4149
2,OpenGL ES 3D API,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,OpenGL ES 3D API,0
3,QuickDraw 3D,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,QuickDraw 3D,0
4,RenderMan,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,RenderMan,339
5,RenderWare,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,RenderWare,86
6,ClanLib,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,ClanLib,18
7,Crystal Space,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,Crystal Space,52
8,HOOPS 3D Graphics System,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,HOOPS 3D Graphics System,0
9,Horde3D,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,Horde3D,3
10,Irrlicht Engine,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,Irrlicht Engine,20
11,Java 3D,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,Java 3D,5
12,Java FX,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,Java FX,16
13,JMonkey Engine,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,JMonkey Engine,5
14,JT Open from Siemens PLM Software,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,JT Open from Siemens PLM Software,0
15,Mobile 3D Graphics API (M3G; JSR-184),https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,Mobile 3D Graphics API,0
16,OGRE,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,OGRE,2965
17,OpenGL Performer,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,OpenGL Performer,24
18,Open Inventor,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,Open Inventor,114
19,OpenSceneGraph,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,OpenSceneGraph,48
20,OpenSG,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,OpenSG,13
21,QSDK,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,QSDK,3
22,Vega Prime by Presagis,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,Vega Prime by Presagis,0
23,VTK,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,VTK,217
24,Blend4Web,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,Blend4Web,0
25,CopperLicht,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,CopperLicht,5
26,O3D,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,O3D,60
27,StormEngineC,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,StormEngineC,7
28,Three.js,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,Three.js,23
29,vtk.js,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,vtk.js,0
30,X3DOM,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,X3DOM,6
31,Babylon.JS,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api,Babylon.JS,0
32,AdvFS,https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem,AdvFS,14
33,Novell Storage Services,https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem,Novell Storage Services,18
34,NTFS,https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem,NTFS,2496
35,ZFS,https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem,ZFS,834
36,Ext4,https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem,Ext4,195
37,F2FS,https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem,F2FS,45
38,bcachefs[3],https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem,bcachefs,0
39,eCryptfs[16],https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem,eCryptfs,8
40,StegFS (discontinued),https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem,StegFS,17
41,TeaSafe,https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem,TeaSafe,2
42,LUKS,https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem,LUKS,417
43,AhnLab SiteGuard,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,AhnLab SiteGuard,0
44,CleanBrowsing,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,CleanBrowsing,0
45,Covenant Eyes,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,Covenant Eyes,13
46,DansGuardian,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,DansGuardian,37
47,DynDNS,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,DynDNS,61
48,FinFisher,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,FinFisher,29
49,Green Dam Youth Escort,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,Green Dam Youth Escort,75
50,GoGuardian,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,GoGuardian,0
51,Instant WebKiosk,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,Instant WebKiosk,0
52,K9 Web Protection,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,K9 Web Protection,0
53,KidRex,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,KidRex,3
54,M86 SecureBrowsing,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,M86 SecureBrowsing,0
55,Microsoft Forefront Threat Management Gateway,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,Microsoft Forefront Threat Management Gateway,0
56,Mobicip,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,Mobicip,5
57,NetGenie,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,NetGenie,12
58,Net Nanny,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,Net Nanny,338
59,Netsentron,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,Netsentron,7
60,NetSpark,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,NetSpark,2
61,OnlineFamily.Norton,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,OnlineFamily.Norton,19
62,OpenDNS,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,OpenDNS,195
63,Opendium Web Gateway,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,Opendium Web Gateway,0
64,Opendium UTM,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,Opendium UTM,0
65,SafeSearch,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,SafeSearch,108
66,Scieno Sitter,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,Scieno Sitter,14
67,ScreenLimit,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,ScreenLimit,0
68,Secure Web SmartFilter EDU,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,Secure Web SmartFilter EDU,0
69,Sentry Parental Controls,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,Sentry Parental Controls,7
70,SimpliProtected,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,SimpliProtected,0
71,SurfWatch,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,SurfWatch,434
72,squidGuard,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,squidGuard,29
73,Trustwave SecureBrowsing,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,Trustwave SecureBrowsing,0
74,UserGate Web Filter,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,UserGate Web Filter,0
75,WANSecure Firewall,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,WANSecure Firewall,2
76,Webconverger,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,Webconverger,12
77,WebMinder,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,WebMinder,14
78,WebWatcher,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,WebWatcher,25
79,X3watch,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,X3watch,15
80,Zscaler,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,Zscaler,51
81,Pumpic,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,Pumpic,0
82,SafeSurf,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software,SafeSurf,51
83,Boolean,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Boolean,9369
84,Floating-point,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Floating-point,4492
85,Integer,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Integer,25232
86,String,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,String,282915
87,Reference,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Reference,460559
88,Enumerated type,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Enumerated type,105
89,Array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Array,163914
90,"Tagged union (also called variant, variant record, discriminated union, or disjoint union)",https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Tagged union,39
91,Associative array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Associative array,237
92,Multimap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Multimap,2011
93,Multiset,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Multiset,326
94,Stack,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Stack,55526
95,Queue,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Queue,34677
96,Double-ended queue,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Double-ended queue,19
97,Priority queue,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Priority queue,274
98,Graph,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Graph,57853
99,Array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Array,163914
100,Bit array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Bit array,47
101,Bit field,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Bit field,195
102,Bitboard,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Bitboard,41
103,Bitmap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Bitmap,4410
104,Circular buffer,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Circular buffer,68
105,Control table,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Control table,89
106,Dope vector,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Dope vector,15
107,Dynamic array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Dynamic array,126
108,Gap buffer,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Gap buffer,14
109,Hashed array tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Hashed array tree,6
110,Heightmap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Heightmap,55
111,Lookup table,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Lookup table,574
112,Matrix,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Matrix,60816
