name,source,type
Direct3D (a subset of DirectX),https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
OpenGL,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
OpenGL ES 3D API,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
QuickDraw 3D,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
RenderMan,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
RenderWare,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
ClanLib,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
Crystal Space,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
HOOPS 3D Graphics System,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
Horde3D,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
Irrlicht Engine,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
Java 3D,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
Java FX,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
JMonkey Engine,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
JT Open from Siemens PLM Software,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
Mobile 3D Graphics API (M3G; JSR-184),https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
OGRE,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
OpenGL Performer,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
Open Inventor,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
OpenSceneGraph,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
OpenSG,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
QSDK,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
Vega Prime by Presagis,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
VTK,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
Blend4Web,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
CopperLicht,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
O3D,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
StormEngineC,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
Three.js,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
vtk.js,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
X3DOM,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
Babylon.JS,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
AdvFS,https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem
Novell Storage Services,https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem
NTFS,https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem
ZFS,https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem
Ext4,https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem
F2FS,https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem
bcachefs[3],https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem
eCryptfs[16],https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem
StegFS (discontinued),https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem
TeaSafe,https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem
LUKS,https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem
AhnLab SiteGuard,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
CleanBrowsing,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Covenant Eyes,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
DansGuardian,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
DynDNS,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
FinFisher,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Green Dam Youth Escort,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
GoGuardian,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Instant WebKiosk,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
K9 Web Protection,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
KidRex,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
M86 SecureBrowsing,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Microsoft Forefront Threat Management Gateway,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Mobicip,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
NetGenie,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Net Nanny,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Netsentron,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
NetSpark,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
OnlineFamily.Norton,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
OpenDNS,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Opendium Web Gateway,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Opendium UTM,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
SafeSearch,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Scieno Sitter,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
ScreenLimit,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Secure Web SmartFilter EDU,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Sentry Parental Controls,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
SimpliProtected,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
SurfWatch,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
squidGuard,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Trustwave SecureBrowsing,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
UserGate Web Filter,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
WANSecure Firewall,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Webconverger,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
WebMinder,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
WebWatcher,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
X3watch,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Zscaler,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Pumpic,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
SafeSurf,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Boolean,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Floating-point,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Integer,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
String,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Reference,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Enumerated type,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
"Tagged union (also called variant, variant record, discriminated union, or disjoint union)",https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Associative array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Multimap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Multiset,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Stack,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Queue,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Double-ended queue,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Priority queue,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Graph,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Bit array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Bit field,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Bitboard,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Bitmap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Circular buffer,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Control table,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Dope vector,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Dynamic array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Gap buffer,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Hashed array tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Heightmap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Lookup table,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Matrix,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Parallel array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Sorted array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Sparse matrix,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Iliffe vector,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Variable-length array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Doubly linked list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Array list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Linked list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Self-organizing list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Skip list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Unrolled linked list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
VList,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Conc-Tree list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Xor linked list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Doubly connected edge list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Difference list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Free list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
AA tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
AVL tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Binary search tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Binary tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Cartesian tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Left-child right-sibling binary tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Order statistic tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Pagoda,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Randomized binary search tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Red–black tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Scapegoat tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Self-balancing binary search tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Splay tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
T-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Tango tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Threaded binary tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Top tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Treap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
WAVL tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Weight-balanced tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
B-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
B+ tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
B*-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
B sharp tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Dancing tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
2-3 tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
2-3-4 tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Queap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Fusion tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Bx-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
AList,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Binary heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Weak heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Binomial heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Fibonacci heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
AF-heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Leonardo Heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
2-3 heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Soft heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Pairing heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Leftist heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Treap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Beap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Skew heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Ternary heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
