feature,class,f1,precision,recall
Unigrams,Weighted Average,0.8536293692874675,0.8542694321350607,0.8664353859496965
Unigrams,BETTER,0.7868852459016393,0.8076923076923077,0.7671232876712328
Unigrams,WORSE,0.3941605839416058,0.6428571428571429,0.28421052631578947
Unigrams,NONE,0.923076923076923,0.8903654485049833,0.9582836710369488
Unigrams,Weighted Average,0.8397180024666103,0.8396745794066016,0.8541666666666666
Unigrams,BETTER,0.7637231503579953,0.7960199004975125,0.7339449541284404
Unigrams,WORSE,0.35555555555555557,0.6,0.25263157894736843
Unigrams,NONE,0.9142857142857143,0.8781558726673985,0.9535160905840286
Unigrams,Weighted Average,0.8444606332409104,0.846013731155296,0.8619791666666666
Unigrams,BETTER,0.7741935483870968,0.8432432432432433,0.7155963302752294
Unigrams,WORSE,0.3206106870229008,0.5833333333333334,0.22105263157894736
Unigrams,NONE,0.9220338983050846,0.8764769065520946,0.9725864123957092
Unigrams,Weighted Average,0.8431639196238181,0.8480246169916151,0.8550347222222222
Unigrams,BETTER,0.7494033412887826,0.7810945273631841,0.7201834862385321
Unigrams,WORSE,0.4558823529411765,0.7560975609756098,0.3263157894736842
Unigrams,NONE,0.9113779302458547,0.8758241758241757,0.9499404052443385
Unigrams,Weighted Average,0.833669379965677,0.832302877444935,0.851304347826087
Unigrams,BETTER,0.7417840375586855,0.7596153846153846,0.7247706422018348
Unigrams,WORSE,0.28346456692913385,0.5454545454545454,0.19148936170212766
Unigrams,NONE,0.9192902117916428,0.8833883388338833,0.9582338902147971
InferSent,Weighted Average,0.8646045949047038,0.8625485022610128,0.8716392020815265
InferSent,BETTER,0.7878787878787878,0.8047619047619049,0.771689497716895
InferSent,WORSE,0.4871794871794871,0.6229508196721312,0.4
InferSent,NONE,0.9273678094131319,0.9047619047619048,0.9511323003575686
InferSent,Weighted Average,0.8409863922776044,0.8390443227682811,0.8524305555555556
InferSent,BETTER,0.7529411764705881,0.7729468599033816,0.7339449541284404
InferSent,WORSE,0.39160839160839167,0.5833333333333334,0.29473684210526313
InferSent,NONE,0.9147465437788019,0.8851727982162765,0.9463647199046484
InferSent,Weighted Average,0.844242325400934,0.8412062110841215,0.8550347222222222
InferSent,BETTER,0.7470449172576833,0.7707317073170732,0.7247706422018348
InferSent,WORSE,0.39455782312925164,0.5576923076923077,0.30526315789473685
InferSent,NONE,0.9204152249134948,0.8916201117318436,0.9511323003575686
InferSent,Weighted Average,0.8461366769914032,0.8490165922019366,0.8585069444444444
InferSent,BETTER,0.7563805104408353,0.7652582159624414,0.7477064220183486
InferSent,WORSE,0.4148148148148147,0.7,0.29473684210526313
InferSent,NONE,0.9182968929804374,0.8876529477196885,0.9511323003575686
InferSent,Weighted Average,0.8477429891084939,0.8447134627967641,0.8582608695652174
InferSent,BETTER,0.7565011820330969,0.7804878048780488,0.7339449541284404
InferSent,WORSE,0.3972602739726027,0.5576923076923077,0.30851063829787234
InferSent,NONE,0.9220103986135182,0.8936170212765957,0.9522673031026253
Word Embedding,Weighted Average,0.8161266620297514,0.8260550122575024,0.8386816999132697
Word Embedding,BETTER,0.6870897155361051,0.6596638655462185,0.7168949771689498
Word Embedding,WORSE,0.19642857142857142,0.6470588235294118,0.11578947368421053
Word Embedding,NONE,0.9199769717904432,0.8897550111358574,0.9523241954707986
Word Embedding,Weighted Average,0.8026304279989294,0.8087793843216435,0.8263888888888888
Word Embedding,BETTER,0.6696629213483146,0.6563876651982379,0.6834862385321101
Word Embedding,WORSE,0.17857142857142858,0.5882352941176471,0.10526315789473684
Word Embedding,NONE,0.907842014882656,0.8733480176211453,0.9451728247914184
Word Embedding,Weighted Average,0.8059831402383653,0.8033849786148689,0.8333333333333334
Word Embedding,BETTER,0.7056179775280899,0.6916299559471367,0.7201834862385321
Word Embedding,WORSE,0.11009174311926603,0.4285714285714286,0.06315789473684211
Word Embedding,NONE,0.9108571428571429,0.8748627881448957,0.9499404052443385
Word Embedding,Weighted Average,0.7960696006890924,0.7914240194664204,0.8237847222222222
Word Embedding,BETTER,0.6592427616926504,0.6406926406926406,0.6788990825688074
Word Embedding,WORSE,0.09259259259259259,0.38461538461538464,0.05263157894736842
Word Embedding,NONE,0.911276473955352,0.8766519823788547,0.9487485101311085
Word Embedding,Weighted Average,0.8069445247217791,0.8072427476711406,0.831304347826087
Word Embedding,BETTER,0.6757369614512473,0.6681614349775785,0.6834862385321101
Word Embedding,WORSE,0.16071428571428573,0.5,0.09574468085106383
Word Embedding,NONE,0.9135661133371493,0.8778877887788779,0.9522673031026253
POS n-grams,Weighted Average,0.7719524140894167,0.7508210279887169,0.8022549869904597
POS n-grams,BETTER,0.5982532751091704,0.5732217573221757,0.6255707762557078
POS n-grams,WORSE,0.01923076923076923,0.1111111111111111,0.010526315789473684
POS n-grams,NONE,0.9025229357798166,0.8696132596685083,0.9380214541120382
POS n-grams,Weighted Average,0.7758269295939845,0.7761379832764951,0.8029513888888888
POS n-grams,BETTER,0.6108597285067872,0.6026785714285714,0.6192660550458715
POS n-grams,WORSE,0.11111111111111113,0.46153846153846156,0.06315789473684211
POS n-grams,NONE,0.8939566704675029,0.8568306010928963,0.9344457687723481
POS n-grams,Weighted Average,0.7841146662195972,0.7714154375961155,0.8133680555555556
POS n-grams,BETTER,0.6496519721577727,0.6572769953051644,0.6422018348623854
POS n-grams,WORSE,0.07272727272727272,0.26666666666666666,0.042105263157894736
POS n-grams,NONE,0.8996029495178673,0.8582251082251082,0.9451728247914184
POS n-grams,Weighted Average,0.7600485078804906,0.7521591712601675,0.7925347222222222
POS n-grams,BETTER,0.5741176470588234,0.5893719806763285,0.5596330275229358
POS n-grams,WORSE,0.057692307692307696,0.3333333333333333,0.031578947368421054
POS n-grams,NONE,0.887887323943662,0.8418803418803419,0.9392133492252682
